transaction_id,account_id,transaction_date,transaction_type,amount,balance_after,description,merchant_name,merchant_category,location,reference_number,is_fraudulent
T       130,A00000431,2024-08-14 06:12:29.171452,Deposit,4531.97,8183.72,Cause market modern wife professor.,,,,REF439856,False
T       131,A00000518,2024-10-13 07:41:43.838750,Deposit,3229.6,44936.21,Full system more cover image.,,,Jonesville,REF768800,False
T       132,A00000625,2025-06-12 17:58:00.115475,Fee,-580.47,1298.67,Choice decade total do special.,,,,REF385489,False
T       133,A00000916,2024-10-27 20:31:28.941419,Fee,-372.85,14440.02,They simple capital poor near station.,,,,REF822189,False
T       134,A00000636,2025-04-08 19:27:36.787606,Payment,-1487.82,45786.16,Management consider adult rich.,"Allen, Franklin and Warren",Healthcare,,REF895994,False
T       135,A00000731,2024-09-20 19:30:43.550523,Interest,2617.89,47513.21,Likely pass them main wrong.,,,Phillipsmouth,REF932730,False
T       136,A00000151,2025-05-18 08:38:47.243855,Deposit,330.62,5433.17,Chair nothing impact.,,,,REF178069,False
T       137,A00000573,2024-08-17 08:49:48.350226,Fee,-1587.88,7202.82,Reflect else military each main contain.,,,Josephfurt,REF317214,False
T       138,A00000493,2024-11-23 06:02:49.674534,Withdrawal,-463.2,6966.68,Game never hand space cause staff dog.,,,,REF353577,False
T       139,A00000917,2025-04-20 17:55:09.866234,Interest,4583.67,22530.25,Defense right only day near event middle.,,,Michaelshire,REF122319,False
T       140,A00000451,2024-09-12 18:33:48.603079,Fee,-477.83,18589.03,Identify news time.,,,Josephside,REF844903,False
T       141,A00000780,2024-08-21 19:28:32.743741,Transfer,2711.26,6197.14,Woman back kind among.,,,Fosterbury,REF391514,False
T       142,A00000315,2024-09-08 03:05:45.407161,Transfer,-2541.2,15929.47,Carry see now resource store unit media.,,,Riceshire,REF615031,False
T       143,A00000274,2024-11-20 11:09:47.588533,Fee,-1517.36,26234.57,Reduce husband ready interview begin brother.,,,Port Timothyville,REF020962,False
T       144,A00000340,2025-06-26 20:17:21.664039,Fee,-529.53,31946.1,Base her left card.,,,,REF912285,False
T       145,A00000221,2024-11-08 02:59:02.562108,Fee,-265.53,39337.1,Most opportunity put discussion.,,,North Stephen,REF241917,False
T       146,A00000057,2025-02-11 22:09:38.418177,Fee,-136.18,41394.66,Short light artist little data.,,,East Nathanielstad,REF360736,False
T       147,A00000887,2025-06-17 12:52:47.466650,Deposit,62.9,17096.63,Turn people modern cause mouth improve.,,,Clarkburgh,REF156075,False
T       148,A00000456,2024-12-09 14:24:15.918890,Fee,-1409.48,43459.42,Become today young child effect world.,,,Garrettburgh,REF593551,False
T       149,A00000993,2024-10-21 14:14:10.429765,Transfer,9007.72,13271.74,Media political meet say radio network start.,,,East Stephenburgh,REF808763,False
T       150,A00000871,2024-08-29 01:38:24.145463,Transfer,1486.18,34446.8,Great chance draw some explain police radio.,,,New James,REF296711,False
T       151,A00000209,2024-12-15 08:43:36.123957,Deposit,289.39,-606.85,Nor goal base arm.,,,Lake Johnnyborough,REF352821,False
T       152,A00000860,2024-09-12 04:06:34.717920,Fee,-590.39,37482.56,Decide pull race toward couple.,,,,REF993605,False
T       153,A00000480,2025-01-16 19:58:22.085614,Payment,-1576.19,29287.19,Thank hour teacher college.,Hernandez LLC,Utilities,,REF051754,False
T       154,A00000090,2024-08-16 08:49:31.896699,Interest,2350.45,13031.99,Investment court off or become even understand stuff.,,,South Williamland,REF757478,False
T       155,A00000719,2025-06-11 23:59:01.777620,Withdrawal,-1128.2,45012.65,Can play much spend campaign.,,,West Brandonville,REF599779,False
T       156,A00000021,2025-02-17 04:35:09.909361,Transfer,-1742.91,13834.83,Policy chance stay heavy week board.,,,New Henry,REF802843,False
T       157,A00000644,2025-02-05 21:25:43.518893,Deposit,299.65,38234.34,Time level art size down chance claim.,,,Bryanberg,REF195880,False
T       158,A00000317,2025-04-20 18:16:34.178084,Deposit,244.37,48030.56,Work sister history represent fund.,,,Charlesstad,REF304492,False
T       159,A00000154,2024-10-15 18:19:16.322179,Transfer,9212.75,15633.96,Decision several establish.,,,Robertsland,REF858162,False
T       160,A00000100,2025-05-01 13:22:35.093761,Deposit,2398.96,29880.65,Challenge enjoy majority position business.,,,Michaelmouth,REF196219,False
T       161,A00000333,2025-05-29 21:28:10.316174,Deposit,1606.72,23999.54,General during speech national decide focus.,,,Paulbury,REF729387,False
T       162,A00000518,2024-10-04 19:57:38.586178,Fee,-57.16,44936.21,Owner discover same seat laugh.,,,Taratown,REF571643,False
T       163,A00000427,2025-06-18 05:26:17.951730,Deposit,4122.79,41791.95,By would knowledge turn general data have.,,,Fullerbury,REF095486,False
T       164,A00000383,2025-07-18 07:44:03.341976,Deposit,2534.87,45254.49,Behavior term guess.,,,Kayleeview,REF826638,False
T       165,A00000343,2025-06-06 12:26:29.538871,Interest,4999.46,20140.57,Husband establish receive serve.,,,Michaelbury,REF076110,False
T       166,A00000937,2024-10-10 06:56:23.843059,Transfer,1301.34,22509.29,Left future mouth check marriage tonight.,,,,REF607493,False
T       167,A00000860,2024-11-18 11:15:11.033549,Deposit,4449.64,37482.56,Large measure necessary strategy.,,,,REF497902,False
T       168,A00000842,2024-12-08 22:39:31.918277,Payment,-666.27,36301.72,Notice center woman herself again add.,Hall-Andrews,Gas,Cassandraport,REF621147,False
T       169,A00000893,2024-08-24 18:44:58.124023,Interest,2615.83,6821.56,Center enter company create including our someone.,,,Cohentown,REF944395,False
T       170,A00000237,2025-02-05 13:52:23.451761,Interest,968.17,48771.97,Vote into environmental they former.,,,East Mikeborough,REF092477,False
T       171,A00000180,2024-10-11 22:57:05.613249,Interest,4612.62,33201.1,Degree occur some.,,,West Patricia,REF047960,False
T       172,A00000489,2024-12-12 01:21:31.007409,Deposit,150.2,22433.67,Adult answer dark push look price option.,,,Lake Larry,REF730623,False
T       173,A00000556,2024-11-10 16:58:30.557123,Withdrawal,-400.62,22613.87,Side material forward action.,,,,REF097702,False
T       174,A00000448,2025-05-26 05:22:02.662139,Withdrawal,-939.55,21331.61,Minute perform camera which source.,,,Randallchester,REF874182,False
T       175,A00000853,2025-07-14 08:42:42.757181,Transfer,4759.95,42658.35,Including time control.,,,,REF890296,False
T       176,A00000896,2024-10-28 00:00:19.303234,Fee,-407.35,22551.74,Discover left increase environment.,,,Mckenziemouth,REF982003,False
T       177,A00000037,2024-08-19 07:15:13.476927,Transfer,1002.56,14510.73,Maintain it attention early policy.,,,Port John,REF742847,False
T       178,A00000287,2024-10-13 17:08:09.840541,Withdrawal,-1618.22,20881.08,Either each development test for fact.,,,Lake Michael,REF231481,False
T       179,A00000733,2025-01-21 09:36:26.534921,Interest,3529.18,3878.27,Compare pattern realize town night.,,,Henrybury,REF178697,False
T       180,A00000845,2025-01-01 11:16:53.903393,Transfer,-6659.98,15713.88,Beyond off she whole rich wrong.,,,,REF931046,False
T       181,A00000642,2024-12-11 08:20:56.062346,Transfer,7247.82,40730.06,Send whole line.,,,,REF722311,False
T       182,A00000837,2025-06-05 06:44:49.993505,Deposit,1092.78,42177.11,Enjoy yes quite son already.,,,,REF488749,False
T       183,A00000863,2025-07-24 13:14:31.698142,Interest,1701.18,4226.36,Hotel that find mean.,,,,REF971460,False
T       184,A00000369,2025-04-23 10:33:51.054579,Interest,2572.44,8472.96,Million drop station different born soon read cell.,,,Elizabethville,REF634530,False
T       185,A00000876,2024-10-16 22:29:05.753096,Payment,-255.24,48612.79,Deep modern with.,"Lloyd, Johnson and Myers",Gas,New Michaelside,REF934087,False
T       186,A00000680,2024-11-18 02:39:14.774820,Deposit,3671.25,25578.05,School but explain difficult happen.,,,Victortown,REF573901,False
T       187,A00000627,2024-11-14 21:08:10.338247,Deposit,4825.84,43270.24,Former tough box.,,,Lake Teresaberg,REF945215,False
T       188,A00000793,2025-05-06 03:25:40.935477,Withdrawal,-889.23,27608.35,Safe girl station.,,,North James,REF703519,False
T       189,A00000181,2025-07-02 08:06:53.006941,Fee,-1744.13,64.63,Exactly cost woman every gun exactly.,,,West Miranda,REF691991,False
T       190,A00000881,2025-07-27 21:33:53.335181,Transfer,-3395.82,18167.61,Stock fear likely.,,,,REF052221,False
T       191,A00000161,2024-12-20 03:02:58.978590,Withdrawal,-24.46,42214.58,Lawyer discover down require something wall.,,,North Nicholasside,REF065201,False
T       192,A00000558,2025-05-04 08:19:47.865501,Interest,1492.57,14288.8,Choice customer bag assume network moment art.,,,Villaburgh,REF537691,False
T       193,A00000692,2024-09-06 14:35:16.357807,Fee,-1752.08,1962.75,Matter card risk standard but everyone everyone.,,,Jeffreyville,REF199390,False
T       194,A00000067,2024-11-15 21:35:27.504761,Withdrawal,-1717.59,10127.05,He blue Democrat possible from record college.,,,,REF766699,False
T       195,A00000406,2025-06-15 00:33:55.025150,Transfer,806.36,794.83,Development those compare a nearly.,,,North Andrewborough,REF185434,False
T       196,A00000609,2025-03-24 11:45:48.827197,Deposit,1282.51,36350.68,Consider task eye report forget specific.,,,North Williamshire,REF312287,False
T       197,A00000118,2025-01-25 22:28:48.353877,Interest,1334.15,8348.4,Believe garden computer onto left machine just pay.,,,,REF968539,False
T       198,A00000519,2025-03-20 13:45:54.152789,Withdrawal,-552.71,26632.18,Effect coach cut her Republican use.,,,Brandonfurt,REF232275,False
T       199,A00000808,2025-05-10 12:06:05.021975,Deposit,4009.85,38430.2,Top Mrs Republican education region born technology.,,,East Jodystad,REF180044,False
T       200,A00000103,2025-01-20 18:54:35.652423,Interest,165.56,27234.05,Despite federal whether candidate across environment walk employee.,,,,REF005216,False
T       201,A00000795,2025-06-19 14:27:14.382650,Deposit,4273.7,14724.02,Heavy enough stop radio people.,,,Schroederview,REF845612,False
T       202,A00000853,2025-03-05 11:17:12.950493,Fee,-1453.83,42658.35,Forward try he music.,,,South Andrea,REF393636,False
T       203,A00000377,2024-09-16 12:15:14.699785,Transfer,2254.45,11246.44,Find single he participant.,,,,REF219945,False
T       204,A00000885,2024-11-10 01:57:26.045607,Transfer,-2060.32,8791.75,Order water room kitchen.,,,,REF073402,False
T       205,A00000958,2024-11-04 06:44:03.732651,Fee,-754.38,1773.54,Together move too challenge memory personal.,,,,REF458393,False
T       206,A00000163,2025-04-11 19:05:05.701241,Transfer,9991.75,1039.28,Reflect system own success head board media.,,,Codyhaven,REF184333,False
